Year,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon,high_temp_days,low_temp_days,heavy_rain_days,snow_days,high_wind_days,low_visibility_days,cloudy_days
1989,South Lake Tahoe,38.939926,-119.977187,42.25727242,9670.314465,30.25159791,39.51549381,40.25275259,44.33588021,1017.758154,,,66.9294238,4.775103989,182.7827026,27.35985294,0.5874789916,,0.7200530035,,40.48255484,803,Clouds,broken clouds,04d,18,52,4,10,28,16,31
1990,Eureka,40.802071,-124.163673,53.07652352,8651.128915,48.86870372,51.41804989,50.83457911,55.52047386,1018.183848,,,85.9304021,8.329661693,228.1640278,,0.7661897356,,0.6,,56.2976421,500,Rain,light rain,10d,67,53,6,2,38,38,33
1990,Fresno,36.737798,-119.787125,63.80095666,8754.118716,46.64397822,62.5846755,62.65323153,64.89852796,1015.016506,,,58.10004491,5.143423535,236.5004491,23.39142857,0.8222486772,,,,26.68538064,721,Haze,haze,50d,32,63,5,0,18,52,27
1990,Los Angeles,34.054908,-118.242643,67.99113356,,52.56058219,67.75705594,65.06657078,70.29900457,1014.574315,,,61.65308219,4.301795662,166.0042237,,0.7457758621,,,,30.59212329,800,Clear,sky is clear,01d,64,51,1,0,85,0,33
1990,Palm Springs,33.830296,-116.545292,71.1526153,9807.54717,43.91219635,69.75231621,68.42627055,74.96698288,1013.738584,,,42.2466895,5.00246347,225.8386986,38.30967213,0.5141198502,,0.2077777778,,26.66518265,800,Clear,sky is clear,01d,35,54,6,0,30,20,58
1990,Riverside,33.980601,-117.375494,64.49452802,9000,47.8230533,63.57601986,62.86166534,66.1423091,1014.660883,,,59.05239128,3.299961192,173.3239356,43.84,0.6484745763,,0.14,,31.78255907,800,Clear,sky is clear,01d,50,54,2,1,4,1,46
1990,San Francisco,37.774929,-122.419415,57.52982877,,51.47777854,56.41525571,56.09769178,58.94810616,1016.751256,,,81.29623288,8.58421347,248.3010274,,0.6652088452,,,,46.41678082,802,Clouds,scattered clouds,03d,45,60,1,0,47,0,28
1990,South Lake Tahoe,38.939926,-119.977187,42.57189706,9654.013605,29.94965953,40.03794921,40.61881462,44.66717946,1017.05033,,,64.89740378,4.54012184,187.4380551,26.58353741,0.4955700935,,0.6163636364,,40.51969939,800,Clear,sky is clear,01d,31,59,6,3,21,24,31
1991,Eureka,40.802071,-124.163673,52.5703637,8226.741573,48.29835139,50.93842663,50.26671645,54.9865956,1017.476114,,,85.82943792,8.153592521,223.4470414,,0.7211769547,,,,53.24991449,800,Clear,sky is clear,01d,26,34,5,0,38,57,34
1991,Fresno,36.737798,-119.787125,63.75560076,8754.110236,47.47078116,62.64878161,62.67838485,64.80043385,1014.683938,,,59.79959537,5.362566033,223.8983927,27.02185185,0.8421400778,,,,27.62515455,800,Clear,sky is clear,01d,18,43,6,0,37,48,27
